#WL (Micrometers)	Transmission (%)
2.0882	95.124817
2.0877	95.330811
2.0872	95.278931
2.0867	95.524597
2.0862	95.529175
2.0857	95.401001
2.0852	95.492554
2.0847	95.358276
2.0843	95.20874
2.0838	95.439148
2.0833	95.599365
2.0828	95.631409
2.0823	95.93811
2.0818	96.060181
2.0813	95.936584
2.0808	95.996094
2.0803	95.921326
2.0798	95.721436
2.0793	95.783997
2.0788	95.941162
2.0783	95.822144
2.0778	95.979309
2.0773	96.170044
2.0768	95.9198
2.0763	96.051025
2.0758	96.240234
2.0753	96.144104
2.0748	96.24176
2.0743	96.054077
2.0738	95.947266
2.0733	96.186829
2.0728	96.144104
2.0723	96.034241
2.0718	96.214294
2.0713	96.343994
2.0708	96.232605
2.0703	96.147156
2.0698	96.257019
2.0693	96.032715
2.0688	95.96405
2.0683	96.342468
2.0678	96.246338
2.0673	96.150208
2.0669	96.286011
2.0664	96.183777
2.0659	96.144104
2.0654	96.238708
2.0649	96.170044
2.0644	96.308899
2.0639	96.392822
2.0634	96.286011
2.0629	96.2677
2.0624	96.206665
2.0619	96.125793
2.0614	96.24939
2.0609	96.318054
2.0604	96.30127
2.0599	96.247864
2.0594	96.339417
2.0589	96.290588
2.0584	96.199036
2.0579	96.414185
2.0574	96.313477
2.0569	96.220398
2.0564	96.224976
2.0559	96.0495
2.0554	95.976257
2.0549	96.075439
2.0544	96.047974
2.0539	95.98999
2.0534	96.002197
2.0529	95.951843
2.0524	95.875549
2.0519	96.205139
2.0514	96.377563
2.0509	96.066284
2.0504	96.191406
2.0499	96.098328
2.0494	95.623779
2.049	95.652771
2.0485	95.646667
2.048	95.411682
2.0475	95.431519
2.047	95.350647
2.0465	95.20874
2.046	95.343018
2.0455	95.320129
2.045	95.166016
2.0445	95.137024
2.044	95.211792
2.0435	95.158386
2.043	95.195007
2.0425	95.248413
2.042	95.024109
2.0415	94.889832
2.041	94.718933
2.0405	94.561768
2.04	94.548035
2.0395	94.572449
2.039	94.490051
2.0385	94.413757
2.038	94.413757
2.0375	94.262695
2.037	94.180298
2.0365	94.180298
2.036	94.041443
2.0355	93.920898
2.035	93.948364
2.0345	94.163513
2.034	94.177246
2.0335	94.068909
2.033	93.800354
2.0325	93.511963
2.032	93.405151
2.0315	93.226624
2.0311	93.287659
2.0306	93.254089
2.0301	93.096924
2.0296	93.165588
2.0291	93.31665
2.0286	93.138123
2.0281	92.887878
2.0276	92.889404
2.0271	92.616272
2.0266	92.378235
2.0261	92.425537
2.0256	92.303467
2.0251	92.312622
2.0246	92.649841
2.0241	92.700195
2.0236	92.433167
2.0231	92.585754
2.0226	92.597961
2.0221	92.234802
2.0216	92.095947
2.0211	91.86554
2.0206	91.696167
2.0201	91.888428
2.0196	92.08374
2.0191	92.071533
2.0186	92.047119
2.0181	91.929626
2.0176	91.600037
2.0171	91.697693
2.0166	91.618347
2.0161	91.268921
2.0156	91.43219
2.0151	91.409302
2.0146	91.31012
2.0141	91.493225
2.0136	91.500854
2.0132	91.267395
2.0127	91.398621
2.0122	91.546631
2.0117	91.363525
2.0112	91.50238
2.0107	91.676331
2.0102	91.577148
2.0097	91.682434
2.0092	91.560364
2.0087	91.290283
2.0082	91.468811
2.0077	91.558838
2.0072	91.45813
2.0067	91.447449
2.0062	91.462708
2.0057	91.615295
2.0052	91.746521
2.0047	91.644287
2.0042	91.506958
2.0037	91.426086
2.0032	91.522217
2.0027	91.616821
2.0022	91.767883
2.0017	91.915894
2.0012	91.925049
2.0007	92.047119
2.0002	92.106628
1.9997	92.181396
1.9992	92.358398
1.9987	92.530823
1.9982	92.39502
1.9977	92.266846
1.9972	92.433167
1.9967	92.683411
1.9962	92.912292
1.9958	93.180847
1.9953	93.354797
1.9948	93.315125
1.9943	93.434143
1.9938	93.455505
1.9933	93.557739
1.9928	93.885803
1.9923	94.012451
1.9918	93.997192
1.9913	94.136047
1.9908	94.271851
1.9903	94.361877
1.9898	94.592285
1.9893	94.760132
1.9888	94.692993
1.9883	94.952393
1.9878	95.315552
1.9873	95.211792
1.9868	95.458984
1.9863	95.735168
1.9858	95.53833
1.9853	95.741272
1.9848	95.889282
1.9843	95.709229
1.9838	95.89386
1.9833	95.947266
1.9828	95.996094
1.9823	96.237183
1.9818	96.17157
1.9813	96.170044
1.9808	96.430969
1.9803	96.511841
1.9798	96.369934
1.9793	96.37146
1.9788	96.511841
1.9783	96.54541
1.9779	96.64917
1.9774	96.624756
1.9769	96.365356
1.9764	96.321106
1.9759	96.414185
1.9754	96.443176
1.9749	96.612549
1.9744	96.734619
1.9739	96.640015
1.9734	96.595764
1.9729	96.562195
1.9724	96.418762
1.9719	96.340942
1.9714	96.394348
1.9709	96.29364
1.9704	96.231079
1.9699	96.286011
1.9694	96.112061
1.9689	96.081543
1.9684	96.159363
1.9679	95.906067
1.9674	95.860291
1.9669	95.791626
1.9664	95.584106
1.9659	95.657349
1.9654	95.6604
1.9649	95.605469
1.9644	95.504761
1.9639	95.469666
1.9634	95.381165
1.9629	95.281982
1.9624	95.422363
1.9619	95.327759
1.9614	95.259094
1.9609	95.52002
1.9604	95.587158
1.96	95.582581
1.9595	95.809937
1.959	95.729065
1.9585	95.523071
1.958	95.651245
1.9575	95.77179
1.957	95.755005
1.9565	95.658875
1.956	95.41626
1.9555	95.121765
1.955	95.095825
1.9545	94.98291
1.954	94.836426
1.9535	94.934082
1.953	94.895935
1.9525	94.473267
1.952	94.207764
1.9515	93.910217
1.951	93.395996
1.9505	92.953491
1.95	92.149353
1.9495	91.203308
1.949	90.513611
1.9485	89.404297
1.948	87.973022
1.9475	86.801147
1.947	85.525513
1.9465	84.017944
1.946	82.565308
1.9455	80.827332
1.945	78.797913
1.9445	76.737976
1.944	74.674988
1.9435	72.494507
1.943	70.278931
1.9426	67.781067
1.9421	65.254211
1.9416	62.88147
1.9411	60.35614
1.9406	57.777405
1.9401	55.06134
1.9396	52.563477
1.9391	50.143433
1.9386	47.628784
1.9381	45.413208
1.9376	42.808533
1.9371	40.486145
1.9366	38.62915
1.9361	36.326599
1.9356	34.185791
1.9351	32.05719
1.9346	30.499268
1.9341	28.95813
1.9336	27.11792
1.9331	25.476074
1.9326	23.831177
1.9321	22.354126
1.9316	21.16394
1.9311	19.799805
1.9306	18.659973
1.9301	17.567444
1.9296	16.357422
1.9291	15.492249
1.9286	14.517212
1.9281	13.519287
1.9276	12.72583
1.9271	11.994934
1.9266	11.296082
1.9261	10.63385
1.9256	9.994507
1.9251	9.407043
1.9247	8.860779
1.9242	8.340454
1.9237	7.847595
1.9232	7.376099
1.9227	6.987
1.9222	6.62384
1.9217	6.233215
1.9212	5.888367
1.9207	5.531311
1.9202	5.227661
1.9197	4.916382
1.9192	4.66156
1.9187	4.499817
1.9182	4.277039
1.9177	4.052734
1.9172	3.797913
1.9167	3.605652
1.9162	3.492737
1.9157	3.317261
1.9152	3.167725
1.9147	2.998352
1.9142	2.835083
1.9137	2.71759
1.9132	2.571106
1.9127	2.453613
1.9122	2.368164
1.9117	2.249146
1.9112	2.157593
1.9107	2.064514
1.9102	1.956177
1.9097	1.927185
1.9092	1.899719
1.9087	1.765442
1.9082	1.574707
1.9077	1.535034
1.9072	1.541138
1.9068	1.419067
1.9063	1.330566
1.9058	1.359558
1.9053	1.353455
1.9048	1.254272
1.9043	1.200867
1.9038	1.13678
1.9033	1.101685
1.9028	1.072693
1.9023	1.052856
1.9018	0.968933
1.9013	0.866699
1.9008	0.883484
1.9003	0.912476
1.8998	0.904846
1.8993	0.842285
1.8988	0.843811
1.8983	0.868225
1.8978	0.811768
1.8973	0.752258
1.8968	0.714111
1.8963	0.700378
1.8958	0.665283
1.8953	0.619507
1.8948	0.617981
1.8943	0.616455
1.8938	0.584412
1.8933	0.556946
1.8928	0.563049
1.8923	0.552368
1.8918	0.500488
1.8913	0.491333
1.8908	0.550842
1.8903	0.534058
1.8898	0.45166
1.8894	0.453186
1.8889	0.450134
1.8884	0.411987
1.8879	0.444031
1.8874	0.439453
1.8869	0.379944
1.8864	0.392151
1.8859	0.384521
1.8854	0.358582
1.8849	0.354004
1.8844	0.297546
1.8839	0.257874
1.8834	0.253296
1.8829	0.250244
1.8824	0.288391
1.8819	0.283813
1.8814	0.270081
1.8809	0.262451
1.8804	0.241089
1.8799	0.256348
1.8794	0.25177
1.8789	0.209045
1.8784	0.256348
1.8779	0.271606
1.8774	0.210571
1.8769	0.189209
1.8764	0.114441
1.8759	0.108337
1.8754	0.149536
1.8749	0.12207
1.8744	0.115967
1.8739	0.138855
1.8734	0.14801
1.8729	0.126648
1.8724	0.119019
1.8719	0.088501
1.8715	0.100708
1.871	0.126648
1.8705	0.138855
1.87	0.132751
1.8695	0.079346
1.869	0.057983
1.8685	0.05188
1.868	0.071716
1.8675	0.065613
1.867	0.039673
1.8665	0.054932
1.866	0.056458
1.8655	0.071716
1.865	0.086975
1.8645	0.064087
1.864	0.048828
1.8635	-0.007629
1.863	0.09613
1.8625	0.140381
1.862	0.038147
1.8615	0.071716
1.861	0.054932
1.8605	0.007629
1.86	0.022888
1.8595	0.022888
1.859	0
1.8585	0.059509
1.858	0.074768
1.8575	0.036621
1.857	0
1.8565	-0.022888
1.856	-0.021362
1.8555	-0.007629
1.855	-0.02594
1.8545	-0.013733
1.854	0.05188
1.8536	-0.028992
1.8531	-0.061035
1.8526	-0.012207
1.8521	-0.012207
1.8516	-0.018311
1.8511	-0.032043
1.8506	-0.02594
1.8501	-0.012207
1.8496	0
1.8491	0.006104
1.8486	-0.036621
1.8481	-0.056458
1.8476	-0.033569
1.8471	-0.033569
1.8466	0.027466
1.8461	0.02594
1.8456	-0.041199
1.8451	-0.054932
1.8446	-0.053406
1.8441	-0.039673
1.8436	-0.02594
1.8431	-0.012207
1.8426	0
1.8421	0.006104
1.8416	-0.047302
1.8411	-0.021362
1.8406	0.012207
1.8401	-0.012207
1.8396	-0.006104
1.8391	-0.012207
1.8386	0
1.8381	-0.009155
1.8376	-0.007629
1.8371	-0.024414
1.8366	-0.054932
1.8362	-0.045776
1.8357	-0.036621
1.8352	-0.007629
1.8347	-0.012207
1.8342	-0.024414
1.8337	-0.016785
1.8332	-0.024414
1.8327	-0.012207
1.8322	0.006104
1.8317	-0.007629
1.8312	-0.028992
1.8307	-0.028992
1.8302	-0.027466
1.8297	-0.035095
1.8292	-0.068665
1.8287	-0.068665
1.8282	-0.033569
1.8277	-0.027466
1.8272	-0.027466
1.8267	-0.013733
1.8262	-0.021362
1.8257	-0.035095
1.8252	-0.035095
1.8247	-0.035095
1.8242	-0.047302
1.8237	-0.027466
1.8232	0.010681
1.8227	0.004578
1.8222	-0.02594
1.8217	-0.006104
1.8212	-0.001526
1.8207	-0.033569
1.8202	-0.007629
1.8197	-0.021362
1.8192	-0.047302
1.8187	-0.02594
1.8183	-0.006104
1.8178	-0.006104
1.8173	-0.010681
1.8168	-0.012207
1.8163	0
1.8158	-0.013733
1.8153	-0.013733
1.8148	-0.05188
1.8143	-0.057983
1.8138	0.010681
1.8133	0
1.8128	-0.022888
1.8123	-0.016785
1.8118	0
1.8113	-0.021362
1.8108	-0.02594
1.8103	0.006104
1.8098	-0.007629
1.8093	-0.007629
1.8088	-0.006104
1.8083	-0.038147
1.8078	-0.030518
1.8073	0.006104
1.8068	-0.001526
1.8063	-0.018311
1.8058	-0.018311
1.8053	0
1.8048	0.024414
1.8043	0.030518
1.8038	0
1.8033	-0.030518
1.8028	0.006104
1.8023	0.018311
1.8018	0
1.8013	-0.02594
1.8008	-0.030518
1.8004	-0.018311
1.7999	-0.036621
1.7994	-0.030518
1.7989	-0.006104
1.7984	0
1.7979	-0.018311
