#WL (Micrometers)	Transmission (%)
2.1215	93.047729
2.121	92.975327
2.1205	93.085526
2.12	93.123451
2.1195	93.159798
2.119	93.350021
2.1185	93.641922
2.118	93.626579
2.1175	93.581825
2.117	93.801048
2.1165	93.671951
2.116	93.706062
2.1155	94.076714
2.115	93.825882
2.1145	93.645966
2.114	93.732674
2.1135	93.746765
2.113	93.882957
2.1125	93.913651
2.112	93.626831
2.1115	93.392097
2.111	93.900368
2.1105	94.156799
2.11	93.735489
2.1095	93.858505
2.109	94.02359
2.1085	93.937088
2.108	93.779373
2.1075	93.327248
2.107	93.430115
2.1065	93.74762
2.106	93.642029
2.1055	93.469353
2.105	93.501961
2.1045	93.692505
2.104	93.392288
2.1035	93.261246
2.103	93.585197
2.1025	93.387833
2.102	92.943581
2.1015	92.776741
2.101	92.930061
2.1005	92.913734
2.1	92.651558
2.0995	92.646431
2.099	92.388412
2.0985	92.28759
2.098	92.406334
2.0975	92.056786
2.097	91.702301
2.0965	91.678925
2.096	91.55471
2.0955	91.405579
2.095	91.266624
2.0945	91.022125
2.094	90.996613
2.0935	91.012314
2.093	90.659431
2.0925	90.331055
2.092	90.349464
2.0915	90.246429
2.091	90.041992
2.0905	89.913055
2.09	89.830894
2.0895	89.661507
2.089	89.592133
2.0885	89.61927
2.088	89.581398
2.0875	89.535324
2.087	89.327667
2.0865	88.984749
2.086	88.817429
2.0855	88.555466
2.085	88.619431
2.0845	88.81723
2.084	88.662292
2.0835	88.65918
2.083	88.423096
2.0825	88.048462
2.082	88.113869
2.0815	88.191917
2.081	88.059586
2.0805	88.349869
2.08	88.337799
2.0795	88.220695
2.079	88.221245
2.0785	88.16729
2.078	88.040436
2.0775	88.144646
2.077	88.288567
2.0765	87.954971
2.076	87.992516
2.0755	88.038712
2.075	87.988121
2.0745	88.068451
2.074	88.048248
2.0735	88.21109
2.073	88.327087
2.0725	88.017204
2.072	88.02919
2.0715	88.228767
2.071	88.276192
2.0705	88.460548
2.07	88.439125
2.0695	88.598442
2.069	88.612839
2.0685	88.314995
2.068	88.325874
2.0675	88.373009
2.067	88.540459
2.0665	88.457436
2.066	88.279915
2.0655	88.342125
2.065	88.34903
2.0645	88.404716
2.064	88.10627
2.0635	87.879204
2.063	88.050484
2.0625	87.902092
2.062	87.708237
2.0615	87.632904
2.061	87.653664
2.0605	87.596153
2.06	87.38485
2.0595	87.373543
2.059	87.114594
2.0585	86.789505
2.058	86.784668
2.0575	86.650681
2.057	86.224617
2.0565	86.004242
2.056	85.978348
2.0555	85.671005
2.055	85.325783
2.0545	85.010284
2.054	84.675529
2.0535	84.233612
2.053	84.169395
2.0525	83.889732
2.052	83.380623
2.0515	83.127609
2.051	82.722549
2.0505	82.276154
2.05	81.999001
2.0495	81.609253
2.049	80.956863
2.0485	80.833153
2.048	80.480202
2.0475	79.767479
2.047	79.580002
2.0465	79.176193
2.046	78.66272
2.0455	78.357544
2.045	77.663513
2.0445	77.125778
2.044	76.734558
2.0435	76.089912
2.043	75.395493
2.0425	74.819031
2.042	74.356316
2.0415	73.676109
2.041	72.921143
2.0405	72.180054
2.04	71.304375
2.0395	70.707497
2.039	69.91021
2.0385	69.077034
2.038	68.211273
2.0375	67.430534
2.037	66.557793
2.0365	65.299873
2.036	64.172813
2.0355	63.009216
2.035	61.931396
2.0345	60.770435
2.034	59.432186
2.0335	58.166821
2.033	56.712418
2.0325	55.355949
2.032	54.011009
2.0315	52.318932
2.031	50.873291
2.0305	49.467705
2.03	47.781708
2.0295	46.291229
2.029	44.861935
2.0285	43.163116
2.028	41.518692
2.0275	40.008514
2.027	38.328217
2.0265	36.736771
2.026	35.192169
2.0255	33.707611
2.025	32.301579
2.0245	30.818125
2.024	29.379255
2.0235	27.999819
2.023	26.598581
2.0225	25.284687
2.022	24.022346
2.0215	22.679239
2.021	21.572025
2.0205	20.6481
2.02	19.572651
2.0195	18.587337
2.019	17.60618
2.0185	16.439606
2.018	15.644914
2.0175	14.842123
2.017	13.86533
2.0165	13.269456
2.016	12.58036
2.0155	11.818223
2.015	11.361427
2.0145	10.640334
2.014	9.973857
2.0135	9.445882
2.013	8.989175
2.0125	8.579742
2.012	8.185406
2.0115	7.726131
2.011	7.241086
2.0105	6.978443
2.01	6.624026
2.0095	6.212964
2.009	5.978741
2.0085	5.619761
2.008	5.251574
2.0075	4.970675
2.007	4.707743
2.0065	4.521305
2.006	4.329762
2.0055	4.177494
2.005	3.9771
2.0045	3.821443
2.004	3.757555
2.0035	3.540833
2.003	3.239199
2.0025	2.994695
2.002	2.93943
2.0015	2.927096
2.001	2.79612
2.0005	2.638113
2	2.516615
1.9995	2.427517
1.999	2.345938
1.9985	2.300233
1.998	2.139111
1.9975	2.062357
1.997	2.103646
1.9965	2.049099
1.996	1.942647
1.9955	1.791072
1.995	1.768015
1.9945	1.689927
1.994	1.546596
1.9935	1.568472
1.993	1.539982
1.9925	1.43863
1.992	1.387132
1.9915	1.306393
1.991	1.279068
1.9905	1.326773
1.99	1.279263
1.9895	1.190856
1.989	1.167114
1.9885	1.208726
1.988	1.161021
1.9875	1.022909
1.987	0.994072
1.9865	1.043661
1.986	0.984458
1.9855	0.858043
1.985	0.816103
1.9845	0.891252
1.984	0.834615
1.9835	0.724187
1.983	0.80617
1.9825	0.828822
1.982	0.678379
1.9815	0.622101
1.981	0.698269
1.9805	0.657394
1.98	0.573271
1.9795	0.570484
1.979	0.553601
1.9785	0.5923
1.978	0.641893
1.9775	0.522277
1.977	0.468584
1.9765	0.519654
1.976	0.554442
1.9755	0.557717
1.975	0.446815
1.9745	0.396831
1.974	0.457045
1.9735	0.49649
1.973	0.415652
1.9725	0.286498
1.972	0.385653
1.9715	0.496426
1.971	0.370207
1.9705	0.320338
1.97	0.476212
1.9695	0.498034
1.969	0.342549
1.9685	0.253122
1.968	0.222697
1.9675	0.277059
1.967	0.329933
1.9665	0.290826
1.966	0.204228
1.9655	0.158628
1.965	0.164893
1.9645	0.173833
1.964	0.208679
1.9635	0.34281
1.963	0.3243
1.9625	0.210046
1.962	0.194887
1.9615	0.256141
1.961	0.309296
