#MaunaKea 2.5mm N  13800ft		
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wavelength	b(sqrt crv gr)	c (lin crv gr)
7.644	3.09548236	0.46131787
7.646	0.64394161	0.81071636
7.648	0.28373892	0.40097559
7.65	0.11709627	0.32892386
7.652	0.33638243	0.7009648
7.654	0.9114264	0.55720176
7.656	4.03156453	1.00082669
7.658	-1.2416951	9.24616132
7.66	3.78975719	0.16721777
7.662	1.47785602	1.03726237
7.664	1.57825746	2.16601442
7.666	1.45154804	1.37890385
7.668	0.95191715	0.97603766
7.67	1.65459931	1.03236991
7.672	1.46007741	1.51842727
7.674	1.04305575	0.72990795
7.676	1.27563325	0.48066836
7.678	0.57271501	0.53342342
7.68	0.93582083	0.45573052
7.682	1.19026917	0.95258967
7.684	1.47309247	0.27649258
7.686	0.41755936	0.38765734
7.688	0.32853608	0.26359501
7.69	0.58927529	0.39876023
7.692	0.82865547	0.71970152
7.694	0.71110593	0.63949002
7.696	0.79431243	0.29448268
7.698	0.04006546	0.25921149
7.7	0.49986789	0.26341416
7.702	0.25322978	0.39700613
7.704	0.38810147	0.49577173
7.706	1.54781929	0.62553507
7.708	0.49540702	0.65053016
7.71	0.78420817	0.81279529
7.712	1.39207826	0.9752208
7.714	1.08970044	0.72770227
7.716	0.21962704	0.30916765
7.718	0.33948093	0.42171292
7.72	0.92062581	0.53425983
7.722	0.22583668	0.40037331
7.724	0.84170269	0.49712775
7.726	0.54067262	0.3684572
7.728	0.52829699	0.34579011
7.73	0.23092239	0.31022123
7.732	0.20570684	0.37388733
7.734	0.48210905	0.33716004
7.736	0.55153747	0.31504326
7.738	0.65353122	0.28477086
7.74	0.08379316	0.20017859
7.742	0.30721699	0.16437321
7.744	0.34352829	0.18814859
7.746	0.0704086	0.21795656
7.748	1.59612642	-0.0478605
7.75	0.40572475	0.23609508
7.752	0.35908929	0.27592289
7.754	0.41705142	0.26015832
7.756	0.11131192	0.26261106
7.758	1.7573753	-0.0022661
7.76	0.63677297	0.6080489
7.762	2.40074253	0.49411896
7.764	0.75735966	1.40220255
7.766	0.87687312	1.71489257
7.768	2.16670233	0.20110571
7.77	0.17045878	0.43612745
7.772	0.22518872	0.36434498
7.774	0.14810129	0.25638586
7.776	0.21705731	0.34418414
7.778	0.0451319	0.2739473
7.78	0.00199229	0.1382058
7.782	0.00252439	0.16149888
7.784	0.030133	0.26989625
7.786	0.80953321	0.29085836
7.788	0.19762917	0.44468912
7.79	0.26619777	0.41345101
7.792	0.75684672	0.65486991
7.794	0.70428728	0.55362616
7.796	0.53858518	0.42706572
