#MtLemmon 5.7mm N  9100ft STD			
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wave  b (sqrt crv gr)  c (lin crv gr)
7.796	0.58874106	0.43525123
7.8	0.58430427	0.44489186
7.804	0.58235247	0.41664065
7.808	0.56535146	0.372264
7.812	0.56916533	0.32561849
7.816	0.53727552	0.30266531
7.82	0.51565924	0.2898241
7.824	0.517438	0.28734217
7.828	0.54268279	0.29526197
7.832	0.53329431	0.31325119
7.836	0.53394603	0.33015911
7.84	0.55270175	0.35623986
7.844	0.58687608	0.36851367
7.848	0.67533527	0.34393274
7.852	0.84075225	0.32941479
7.856	1.07780923	0.31376292
7.86	1.37838887	0.28696887
7.864	1.58220687	0.36560267
7.868	1.50894326	0.68549421
7.872	1.4355665	0.8712954
7.876	1.51872859	0.67569984
7.88	1.48347575	0.50396913
7.884	1.43098658	0.39900566
7.888	1.31539374	0.34321484
7.892	1.15520178	0.29168913
7.896	1.0426598	0.2923468
7.9	0.94520482	0.28870551
7.904	0.80186094	0.29051408
7.908	0.68632235	0.29467283
7.912	0.62617645	0.31198975
7.916	0.60766696	0.3130345
7.92	0.67463183	0.28325961
7.924	0.81476887	0.26219398
7.928	0.96844154	0.25137368
7.932	1.13373514	0.20164327
7.936	1.1655552	0.14680476
7.94	1.00715957	0.14907842
7.944	0.79231838	0.15424722
7.948	0.57876238	0.16382983
7.952	0.38269142	0.20263629
7.956	0.26514175	0.23084013
7.96	0.23896048	0.22935336
7.964	0.24382618	0.22230977
7.968	0.27279485	0.22731963
7.972	0.29681969	0.22599194
7.976	0.32214417	0.21372169
7.98	0.29843665	0.20041843
7.984	0.26742856	0.19204584
7.988	0.22405766	0.18074813
7.992	0.18377923	0.176839
7.996	0.15005449	0.17483942
8	0.15799331	0.16733618
8.004	0.16388122	0.15904503
8.008	0.17586287	0.15154994
8.012	0.20004441	0.14224021
8.016	0.21612905	0.14282128
8.02	0.24773046	0.14324952
8.024	0.31826961	0.1428955
8.028	0.38704041	0.15779357
8.032	0.44046068	0.18323962
8.036	0.49138605	0.1951686
8.04	0.47622959	0.19540375
8.044	0.39968808	0.18576564
8.048	0.31669925	0.16534107
8.052	0.23095045	0.15498142
8.056	0.15272797	0.15817414
8.06	0.11340563	0.15588558
8.064	0.10604565	0.14707403
8.068	0.11653658	0.14296346
8.072	0.12769624	0.14348736
8.076	0.13505095	0.14203307
8.08	0.14142241	0.13764129
8.084	0.1431312	0.12926991
8.088	0.12341691	0.11547018
8.092	0.09998685	0.09721548
8.096	0.07245548	0.08172463
8.1	0.04630061	0.07124048
8.104	0.02449636	0.06490077
8.108	0.01469261	0.06046877
8.112	0.01070334	0.0599116
8.116	0.01487088	0.06278676
8.12	0.02289442	0.06922598
8.124	0.03179403	0.07804575
8.128	0.04047611	0.08850047
8.132	0.04464717	0.0957537
8.136	0.04378833	0.09902532
8.14	0.04037496	0.09981973
8.144	0.06990925	0.09162322
8.148	0.14203489	0.07392763
8.152	0.22064064	0.06576169
8.156	0.30318654	0.06322169
8.16	0.38330162	0.0582976
8.164	0.38830288	0.06200347
8.168	0.30533744	0.07932109
8.172	0.2261932	0.08761062
8.176	0.15049102	0.10089892
8.18	0.08059763	0.11961566
8.184	0.04594394	0.13056404
8.188	0.05978434	0.12793791
8.192	0.09569414	0.12385736
8.196	0.12797748	0.1177999
8.2	0.16015218	0.10712703
8.204	0.19260959	0.09402389
8.208	0.20098047	0.08141554
8.212	0.156953	0.07912717
8.216	0.11545282	0.07828028
8.22	0.07482157	0.08191506
8.224	0.03523021	0.08803721
8.228	0.01179936	0.09669633
8.232	0.05557875	0.08589784
8.236	0.12534813	0.07364903
8.24	0.22550442	0.06247885
8.244	0.32920455	0.06309992
8.248	0.43134263	0.05940983
8.252	0.43830379	0.07090776
8.256	0.39442521	0.0692331
8.26	0.29396526	0.06357357
8.264	0.19019913	0.0587377
8.268	0.08958665	0.06570698
8.272	0.03355832	0.06624775
8.276	0.00534137	0.06639651
8.28	0.00469669	0.06187836
8.284	0.00647315	0.06057665
8.288	0.00835996	0.06096019
8.292	0.00965784	0.06010331
8.296	0.00755634	0.05537997
8.3	0.00543192	0.05129516
8.304	0.00326481	0.0478189
8.308	0.00107611	0.04540964
8.312	-0.0007619	0.04386024
8.316	-0.0006686	0.04475618
8.32	-0.0005976	0.04604591
8.324	-0.0001487	0.04940581
8.328	0.02359726	0.04815011
8.332	0.07077405	0.04444681
8.336	0.11841055	0.04501093
8.34	0.16605221	0.04763016
8.344	0.21375986	0.04771358
8.348	0.21317429	0.04962736
8.352	0.16529942	0.05243389
8.356	0.11795575	0.05082898
8.36	0.07084997	0.0511932
8.364	0.02472575	0.05503504
8.368	0.00240076	0.05670628
8.372	0.00315213	0.05504531
8.376	0.00443355	0.05757093
8.38	0.00538136	0.06240943
8.384	0.00513815	0.06734563
8.388	0.00484775	0.07164759
8.392	0.00452594	0.07558401
8.396	0.00395602	0.07733899
8.4	0.00320958	0.07608217
8.404	0.00752506	0.07739653
8.408	0.05523041	0.0666876
8.412	0.11576703	0.05934339
8.416	0.17726376	0.05685107
8.42	0.23884415	0.05973926
8.424	0.2937373	0.05343514
8.428	0.25339592	0.06599201
8.432	0.1920902	0.06817727
8.436	0.13163741	0.06720057
8.44	0.07136417	0.06796753
8.444	0.01596276	0.07521669
8.448	0.00411662	0.06866743
8.452	0.0053584	0.06564364
8.456	0.00705791	0.06619466
8.46	0.00865198	0.06768493
8.464	0.01022891	0.06991694
8.468	0.01202657	0.07453138
8.472	0.01099714	0.07477645
8.476	0.00966834	0.07404245
8.48	0.00834541	0.07419367
8.484	0.0069955	0.07506588
8.488	0.00535187	0.07493322
8.492	0.00599034	0.08016199
8.496	0.0378654	0.07887698
